"pred_1a","state","cnty","tract","geoid2"
0.734860919819089,"05","015","950500","05015950500"
0.686115356228209,"05","033","020302","05033020302"
0.663744200964413,"05","045","030702","05045030702"
0.712814188334154,"05","057","480500","05057480500"
0.685914878634351,"05","085","020103","05085020103"
0.713444542800017,"05","131","000502","05131000502"
0.803509023165713,"04","013","422513","04013422513"
0.781876886862442,"04","019","004427","04019004427"
0.787140240918783,"04","019","004645","04019004645"
0.787441800451961,"06","013","311000","06013311000"
0.697623937938774,"06","029","001902","06029001902"
0.570352524343047,"06","037","272202","06037272202"
0.693064310935893,"06","037","577603","06037577603"
0.783450682985634,"06","037","602003","06037602003"
0.736319533024583,"06","037","670403","06037670403"
0.784778788042365,"06","059","052506","06059052506"
0.738141153941527,"06","071","009717","06071009717"
0.72774353717589,"06","073","010112","06073010112"
0.780511086732974,"06","073","010300","06073010300"
0.759156757186687,"06","073","017010","06073017010"
0.805528858041268,"06","077","005134","06077005134"
0.759914529006735,"06","081","607300","06081607300"
0.76709124220226,"06","085","500100","06085500100"
0.717594038222422,"06","103","000400","06103000400"
0.763685883745425,"06","111","008303","06111008303"
0.646506752827669,"08","005","005626","08005005626"
0.711121220183473,"08","031","000302","08031000302"
0.697427747318817,"09","001","011300","09001011300"
0.700356962851932,"09","003","417400","09003417400"
0.658294097431521,"10","003","016200","10003016200"
0.594199047701698,"12","001","001517","12001001517"
0.756529632344079,"12","011","060113","12011060113"
0.761330927562242,"12","031","016807","12031016807"
0.611881572989982,"12","057","011710","12057011710"
0.729487342511213,"12","071","030202","12071030202"
0.66424425273001,"12","086","003003","12086003003"
0.679854825486693,"12","087","972300","12087972300"
0.69717798834909,"12","091","022800","12091022800"
0.713731728203151,"12","099","002400","12099002400"
0.800492160571492,"13","051","003502","13051003502"
0.756348867289392,"13","067","031112","13067031112"
0.812989268037826,"13","165","960200","13165960200"
0.837404497834693,"13","211","010300","13211010300"
0.655288853470338,"19","153","010408","19153010408"
0.67277599715645,"16","055","001100","16055001100"
0.705481691525224,"17","031","110501","17031110501"
0.720740675241489,"17","167","000800","17167000800"
0.70630116068082,"18","005","010500","18005010500"
0.786578331229546,"18","031","969200","18031969200"
0.68121259135061,"18","085","961900","18085961900"
0.704823232638523,"18","095","011100","18095011100"
0.77056743541743,"20","037","956600","20037956600"
0.724943377857367,"21","037","051200","21037051200"
0.766248205090944,"21","199","930200","21199930200"
0.800524157360176,"22","017","023300","22017023300"
0.768826925586272,"22","045","030500","22045030500"
0.715002356947881,"22","071","009600","22071009600"
0.709322735429479,"22","071","011600","22071011600"
0.693581017959019,"25","021","419700","25021419700"
0.740110151074927,"25","023","511000","25023511000"
0.712639685021189,"25","025","050200","25025050200"
0.636231871381196,"25","027","758101","25027758101"
0.611136631682305,"25","027","761400","25027761400"
0.732828242655079,"24","005","430900","24005430900"
0.721604931585265,"24","031","701505","24031701505"
0.705233327978313,"24","031","702402","24031702402"
0.681845803316739,"26","033","970800","26033970800"
0.770448218778242,"26","049","010811","26049010811"
0.634367542069468,"26","147","631600","26147631600"
0.750368231379192,"26","163","522200","26163522200"
0.683828081795717,"26","163","544100","26163544100"
0.71974723789602,"27","053","000300","27053000300"
0.796676513924871,"27","109","000902","27109000902"
0.760907388250155,"27","133","570300","27133570300"
0.783478631603296,"29","159","480200","29159480200"
0.801496124729673,"29","195","090200","29195090200"
0.805423329592628,"28","121","020101","28121020101"
0.76831945657214,"28","135","950100","28135950100"
0.714279116557289,"37","119","005100","37119005100"
0.822788971954331,"37","125","951200","37125951200"
0.711860197663995,"37","179","021005","37179021005"
0.762744542583408,"34","001","000500","34001000500"
0.670437535222349,"34","003","008000","34003008000"
0.722511901720292,"34","007","607502","34007607502"
0.582095185009105,"34","013","011900","34013011900"
0.724175410826694,"34","017","000200","34017000200"
0.751708651867212,"35","045","000706","35045000706"
0.624153518444359,"32","003","002969","32003002969"
0.705386112347604,"32","031","001010","32031001010"
0.636266836552454,"36","047","014000","36047014000"
0.66480563998155,"36","047","062600","36047062600"
0.604928057349104,"36","061","025100","36061025100"
0.641311706230473,"36","083","052603","36083052603"
0.67943800820275,"36","113","070400","36113070400"
0.717323834804511,"39","035","106800","39035106800"
0.736561360184626,"39","035","119900","39035119900"
0.652636155417777,"39","049","007043","39049007043"
0.726476094745134,"39","065","000700","39065000700"
0.72265612272323,"39","095","004200","39095004200"
0.582693118217622,"39","095","006500","39095006500"
0.76351095659376,"39","109","365302","39109365302"
0.718744835696597,"40","031","002001","40031002001"
0.732917248875593,"41","039","001803","41039001803"
0.744644058424451,"41","051","009000","41051009000"
0.740619957031644,"42","003","474101","42003474101"
0.612442791133984,"42","029","300800","42029300800"
0.721995888580394,"42","029","307400","42029307400"
0.670734762753026,"42","033","330400","42033330400"
0.671643132001261,"42","041","013000","42041013000"
0.607440541905006,"42","045","404003","42045404003"
0.699172418898145,"42","071","012900","42071012900"
0.776635355204793,"42","095","017501","42095017501"
0.780648022852179,"72","127","007100","72127007100"
0.810993886882055,"72","131","958800","72131958800"
0.70742818796705,"44","007","010600","44007010600"
0.743923976880403,"44","007","013701","44007013701"
0.752177283916998,"45","031","010400","45031010400"
0.845420334114196,"45","085","001100","45085001100"
0.742732928948945,"48","029","121909","48029121909"
0.647313193248694,"48","029","191808","48029191808"
0.708002200241437,"48","113","004300","48113004300"
0.63906147234027,"48","113","019206","48113019206"
0.761249284376243,"48","181","000200","48181000200"
0.742376352181826,"48","187","210505","48187210505"
0.763419506836128,"48","201","532501","48201532501"
0.715539325899512,"48","215","021304","48215021304"
0.732569445034081,"48","215","024301","48215024301"
0.772173588550011,"48","225","950100","48225950100"
0.765755283404579,"49","011","125401","49011125401"
0.62013934844355,"51","059","480505","51059480505"
0.718083077317633,"51","171","040300","51171040300"
0.772664009177107,"53","033","029304","53033029304"
0.726194430336212,"53","063","003900","53063003900"
0.547477602185727,"53","063","004000","53063004000"
0.67099626046072,"55","003","950300","55003950300"
0.632553433383935,"55","029","100300","55029100300"
0.649910787028825,"55","081","950400","55081950400"
0.725536784614978,"55","085","971400","55085971400"
0.682124220383346,"55","097","960200","55097960200"
0.679339408239841,"55","117","010200","55117010200"
0.713112196698889,"54","003","971102","54003971102"
0.724966037235315,"54","089","000500","54089000500"
0.763741918825341,"01","055","000200","01055000200"
0.839992023030228,"01","087","231900","01087231900"
0.728235725642768,"06","001","404600","06001404600"
0.714736351341758,"06","007","003501","06007003501"
0.708971430420734,"06","037","123301","06037123301"
0.788264448885031,"06","037","134421","06037134421"
0.682298620058489,"06","037","301602","06037301602"
0.74185951412617,"06","037","432700","06037432700"
0.824462653136441,"06","037","910712","06037910712"
0.801508197347136,"06","047","001503","06047001503"
0.775453494796911,"06","059","001708","06059001708"
0.658874544579378,"06","059","063007","06059063007"
0.744428689572668,"06","065","041910","06065041910"
0.785670038118973,"06","067","007417","06067007417"
0.806335277406156,"06","073","003107","06073003107"
0.720924964654602,"06","073","016000","06073016000"
0.689482609332779,"06","079","011600","06079011600"
0.702596661842636,"06","111","001602","06111001602"
0.670982481420488,"08","059","012057","08059012057"
0.664006895286021,"09","003","462201","09003462201"
0.687966628192138,"09","003","471300","09003471300"
0.619894524816019,"09","005","300100","09005300100"
0.737040988037362,"12","033","003508","12033003508"
0.794581244499094,"12","057","001300","12057001300"
0.778839583283206,"12","069","031202","12069031202"
0.754824569831362,"12","081","002012","12081002012"
0.686184283582651,"12","086","007503","12086007503"
0.777342997614672,"12","086","008804","12086008804"
0.766084149929583,"12","086","011005","12086011005"
0.655856813431544,"12","099","005943","12099005943"
0.721586329228428,"12","103","025204","12103025204"
0.743102993661787,"13","013","180301","13013180301"
0.713111980856729,"13","121","009801","13121009801"
1,"13","153","020600","13153020600"
0.73487335855882,"15","007","040204","15007040204"
0.645243713630404,"19","153","004800","19153004800"
0.762188300119354,"19","155","021501","19155021501"
0.685214753014393,"19","171","290300","19171290300"
0.756134234327891,"17","031","252000","17031252000"
0.753002907819231,"17","031","825700","17031825700"
0.732328442771631,"17","031","838000","17031838000"
0.773087236047832,"17","091","010202","17091010202"
0.676685842426685,"17","097","864802","17097864802"
0.584556960374326,"17","183","001200","17183001200"
0.746065414066006,"17","183","010200","17183010200"
0.758547521930289,"17","199","021200","17199021200"
0.691554026909493,"18","057","110807","18057110807"
0.666652955541327,"18","091","040500","18091040500"
0.690096484315451,"18","097","340700","18097340700"
0.666944000613136,"20","173","010200","20173010200"
0.807451290980224,"21","045","950200","21045950200"
0.685409670291706,"21","073","070401","21073070401"
0.770324356060874,"22","017","022100","22017022100"
0.686318735647676,"22","033","004011","22033004011"
0.743274645108364,"22","079","011000","22079011000"
0.640769454181634,"25","009","223100","25009223100"
