"","tractid","all_fire","alarm_unknown","alarm_presented","alarm_not_presented","ratio_no_alarm_in_all","ratio_no_alarm_in_all_known"
"1","01001020200",3,0,2,1,0.333333333333333,0.333333333333333
"2","01001020300",3,0,0,3,1,1
"3","01001020400",3,1,1,1,0.333333333333333,0.5
"4","01001020500",3,1,1,1,0.333333333333333,0.5
"5","01001020600",1,0,1,0,0,0
"6","01001020700",2,1,1,0,0,0
"7","01001020802",1,0,0,1,1,1
"8","01003010100",2,2,0,0,0,NA
"9","01003010300",1,1,0,0,0,NA
"10","01003010400",1,1,0,0,0,NA
"11","01003010500",6,5,1,0,0,0
"12","01003010600",3,0,2,1,0.333333333333333,0.333333333333333
"13","01003010701",7,2,3,2,0.285714285714286,0.4
"14","01003010703",6,3,2,1,0.166666666666667,0.333333333333333
"15","01003010704",4,3,1,0,0,0
"16","01003010705",8,4,0,4,0.5,1
"17","01003010800",17,11,2,4,0.235294117647059,0.666666666666667
"18","01003010903",3,3,0,0,0,NA
"19","01003010904",3,2,0,1,0.333333333333333,1
"20","01003010905",8,8,0,0,0,NA
"21","01003011000",1,1,0,0,0,NA
"22","01003011101",1,1,0,0,0,NA
"23","01003011102",3,2,0,1,0.333333333333333,1
"24","01003011201",5,4,1,0,0,0
"25","01003011202",3,3,0,0,0,NA
"26","01003011300",4,4,0,0,0,NA
"27","01003011401",4,3,0,1,0.25,1
"28","01003011403",2,1,0,1,0.5,1
"29","01003011405",7,3,3,1,0.142857142857143,0.25
"30","01003011406",1,0,1,0,0,0
"31","01003011407",5,2,2,1,0.2,0.333333333333333
"32","01003011408",1,1,0,0,0,NA
"33","01003011501",3,1,0,2,0.666666666666667,1
"34","01003011502",4,3,1,0,0,0
"35","01003011601",12,12,0,0,0,NA
"36","01003011602",12,11,0,1,0.0833333333333333,1
"37","01005950100",3,3,0,0,0,NA
"38","01005950200",3,3,0,0,0,NA
"39","01007010002",3,0,1,2,0.666666666666667,0.666666666666667
"40","01007010004",3,1,1,1,0.333333333333333,0.5
"41","01009050101",7,3,3,1,0.142857142857143,0.25
"42","01009050102",8,8,0,0,0,NA
"43","01009050200",4,4,0,0,0,NA
"44","01009050300",11,6,3,2,0.181818181818182,0.4
"45","01009050400",11,11,0,0,0,NA
"46","01009050500",6,4,0,2,0.333333333333333,1
"47","01009050601",2,2,0,0,0,NA
"48","01009050602",3,3,0,0,0,NA
"49","01009050700",1,1,0,0,0,NA
"50","01011952200",1,1,0,0,0,NA
"51","01013952800",2,1,0,1,0.5,1
"52","01013952900",3,2,1,0,0,0
"53","01013953000",8,7,1,0,0,0
"54","01013953200",3,3,0,0,0,NA
"55","01013953300",1,1,0,0,0,NA
"56","01015001600",1,1,0,0,0,NA
"57","01015001800",6,5,1,0,0,0
"58","01015002000",2,1,0,1,0.5,1
"59","01015002200",1,1,0,0,0,NA
"60","01015002501",2,2,0,0,0,NA
"61","01015002502",1,1,0,0,0,NA
"62","01015002600",4,4,0,0,0,NA
"63","01017953900",4,4,0,0,0,NA
"64","01017954000",1,1,0,0,0,NA
"65","01017954200",6,4,0,2,0.333333333333333,1
"66","01017954300",1,0,1,0,0,0
"67","01017954400",1,1,0,0,0,NA
"68","01017954500",12,8,1,3,0.25,0.75
"69","01017954600",1,1,0,0,0,NA
"70","01017954700",2,1,0,1,0.5,1
"71","01019955800",3,3,0,0,0,NA
"72","01021060101",5,2,2,1,0.2,0.333333333333333
"73","01021060102",6,4,0,2,0.333333333333333,1
"74","01021060401",1,1,0,0,0,NA
"75","01021060402",5,2,1,2,0.4,0.666666666666667
"76","01023956900",6,4,1,1,0.166666666666667,0.5
"77","01027958900",4,4,0,0,0,NA
"78","01029959600",3,2,0,1,0.333333333333333,1
"79","01029959700",6,6,0,0,0,NA
"80","01031010300",1,1,0,0,0,NA
"81","01031010900",8,1,2,5,0.625,0.714285714285714
"82","01031011000",4,3,1,0,0,0
"83","01031011100",1,1,0,0,0,NA
"84","01031011201",4,1,3,0,0,0
"85","01031011202",6,2,3,1,0.166666666666667,0.25
"86","01031011300",4,3,0,1,0.25,1
"87","01033020100",3,2,1,0,0,0
"88","01033020200",2,0,0,2,1,1
"89","01033020300",11,6,2,3,0.272727272727273,0.6
"90","01033020400",2,2,0,0,0,NA
"91","01033020701",2,1,0,1,0.5,1
"92","01033020703",2,2,0,0,0,NA
"93","01033020704",3,2,1,0,0,0
"94","01033020801",3,2,0,1,0.333333333333333,1
"95","01033020802",4,4,0,0,0,NA
"96","01033021000",4,3,1,0,0,0
"97","01035960500",1,1,0,0,0,NA
"98","01039961600",2,1,0,1,0.5,1
"99","01039961900",1,0,0,1,1,1
"100","01039962000",1,1,0,0,0,NA
"101","01039962400",5,2,1,2,0.4,0.666666666666667
"102","01039962500",1,0,0,1,1,1
"103","01039962600",2,0,0,2,1,1
"104","01039962700",2,1,0,1,0.5,1
"105","01039962800",3,1,1,1,0.333333333333333,0.5
"106","01041963700",2,2,0,0,0,NA
"107","01043964400",1,1,0,0,0,NA
"108","01043964800",1,0,0,1,1,1
"109","01043964900",1,0,1,0,0,0
"110","01043965000",4,3,1,0,0,0
"111","01045021101",1,1,0,0,0,NA
"112","01045021200",1,1,0,0,0,NA
"113","01045021400",1,1,0,0,0,NA
"114","01047956100",4,4,0,0,0,NA
"115","01047956201",1,0,0,1,1,1
"116","01047956300",9,9,0,0,0,NA
"117","01047956400",12,5,0,7,0.583333333333333,1
"118","01047956500",14,6,0,8,0.571428571428571,1
"119","01047956600",14,9,0,5,0.357142857142857,1
"120","01047956701",1,1,0,0,0,NA
"121","01047956702",11,9,0,2,0.181818181818182,1
"122","01047956800",4,3,0,1,0.25,1
"123","01047957200",1,1,0,0,0,NA
"124","01047957300",5,3,1,1,0.2,0.5
"125","01049960300",10,6,1,3,0.3,0.75
"126","01049960400",2,2,0,0,0,NA
"127","01049960500",2,2,0,0,0,NA
"128","01049960800",2,1,0,1,0.5,1
"129","01049961000",2,2,0,0,0,NA
"130","01049961100",2,2,0,0,0,NA
"131","01049961200",1,1,0,0,0,NA
"132","01049961300",3,3,0,0,0,NA
"133","01051030100",1,1,0,0,0,NA
"134","01051030200",4,3,1,0,0,0
"135","01051030300",1,1,0,0,0,NA
"136","01051030400",12,8,1,3,0.25,0.75
"137","01051030500",8,2,1,5,0.625,0.833333333333333
"138","01051030600",7,3,3,1,0.142857142857143,0.25
"139","01051030701",3,3,0,0,0,NA
"140","01051030702",9,5,3,1,0.111111111111111,0.25
"141","01051030800",4,1,2,1,0.25,0.333333333333333
"142","01051030901",7,6,0,1,0.142857142857143,1
"143","01051030902",8,7,1,0,0,0
"144","01051031000",4,4,0,0,0,NA
"145","01051031200",1,0,1,0,0,0
"146","01051031300",4,4,0,0,0,NA
"147","01053969800",2,1,1,0,0,0
"148","01053969900",7,7,0,0,0,NA
"149","01053970100",6,5,1,0,0,0
"150","01053970200",2,2,0,0,0,NA
"151","01053970300",8,8,0,0,0,NA
"152","01053970400",3,2,1,0,0,0
"153","01053970500",6,4,0,2,0.333333333333333,1
"154","01053970600",14,8,1,5,0.357142857142857,0.833333333333333
"155","01053970700",3,2,0,1,0.333333333333333,1
"156","01055000200",5,5,0,0,0,NA
"157","01055000300",4,3,1,0,0,0
"158","01055000400",1,1,0,0,0,NA
"159","01055000600",2,1,1,0,0,0
"160","01055000700",4,1,0,3,0.75,1
"161","01055000800",3,1,0,2,0.666666666666667,1
"162","01055000900",3,2,1,0,0,0
"163","01055001000",1,1,0,0,0,NA
"164","01055001100",3,2,0,1,0.333333333333333,1
"165","01055001200",11,6,4,1,0.0909090909090909,0.2
"166","01055001300",4,1,1,2,0.5,0.666666666666667
"167","01055001600",6,3,2,1,0.166666666666667,0.333333333333333
"168","01055001700",4,0,3,1,0.25,0.25
"169","01055010300",5,5,0,0,0,NA
"170","01055010502",1,1,0,0,0,NA
"171","01055010602",7,4,2,1,0.142857142857143,0.333333333333333
"172","01055010700",1,0,0,1,1,1
"173","01055010900",2,1,0,1,0.5,1
"174","01055011001",1,1,0,0,0,NA
"175","01055011100",2,2,0,0,0,NA
"176","01055011200",10,6,1,3,0.3,0.75
"177","01057020100",2,2,0,0,0,NA
"178","01057020300",2,1,0,1,0.5,1
"179","01059972900",1,1,0,0,0,NA
"180","01059973600",1,0,0,1,1,1
"181","01059973700",2,2,0,0,0,NA
"182","01061050100",12,6,3,3,0.25,0.5
"183","01061050200",1,1,0,0,0,NA
"184","01061050300",2,2,0,0,0,NA
"185","01061050400",5,3,1,1,0.2,0.5
"186","01061050500",4,4,0,0,0,NA
"187","01063060100",1,1,0,0,0,NA
"188","01065040500",3,1,0,2,0.666666666666667,1
"189","01067030500",4,3,0,1,0.25,1
"190","01069040100",6,4,2,0,0,0
"191","01069040201",3,0,2,1,0.333333333333333,0.333333333333333
"192","01069040202",5,2,2,1,0.2,0.333333333333333
