"","tractid","all_fire","alarm_unknown","alarm_presented","alarm_not_presented","ratio_no_alarm_in_all","ratio_no_alarm_in_all_known"
"1","01001020100",2,0,2,0,0,0
"2","01001020200",1,0,0,1,1,1
"3","01001020300",1,0,0,1,1,1
"4","01001020500",5,2,2,1,0.2,0.333333333333333
"5","01001020600",3,2,1,0,0,0
"6","01001020700",5,2,0,3,0.6,1
"7","01001020802",4,2,2,0,0,0
"8","01001021000",3,3,0,0,0,NA
"9","01001021100",2,1,1,0,0,0
"10","01003010300",5,4,0,1,0.2,1
"11","01003010400",4,3,1,0,0,0
"12","01003010500",12,6,2,4,0.333333333333333,0.666666666666667
"13","01003010600",3,1,1,1,0.333333333333333,0.5
"14","01003010701",4,2,2,0,0,0
"15","01003010703",5,5,0,0,0,NA
"16","01003010704",1,0,0,1,1,1
"17","01003010705",7,2,4,1,0.142857142857143,0.2
"18","01003010800",7,2,4,1,0.142857142857143,0.2
"19","01003010903",4,3,0,1,0.25,1
"20","01003010904",3,3,0,0,0,NA
"21","01003010905",3,1,0,2,0.666666666666667,1
"22","01003010906",3,3,0,0,0,NA
"23","01003011000",1,1,0,0,0,NA
"24","01003011101",2,1,1,0,0,0
"25","01003011102",1,0,0,1,1,1
"26","01003011201",2,2,0,0,0,NA
"27","01003011202",7,6,0,1,0.142857142857143,1
"28","01003011300",5,4,1,0,0,0
"29","01003011401",3,2,0,1,0.333333333333333,1
"30","01003011403",4,4,0,0,0,NA
"31","01003011405",2,2,0,0,0,NA
"32","01003011406",4,0,3,1,0.25,0.25
"33","01003011407",11,6,4,1,0.0909090909090909,0.2
"34","01003011601",6,5,0,1,0.166666666666667,1
"35","01003011602",19,17,1,1,0.0526315789473684,0.5
"36","01005950100",1,0,0,1,1,1
"37","01005950200",4,4,0,0,0,NA
"38","01005950300",10,9,0,1,0.1,1
"39","01005950400",11,10,1,0,0,0
"40","01005950500",1,1,0,0,0,NA
"41","01005950600",1,1,0,0,0,NA
"42","01005950800",1,1,0,0,0,NA
"43","01005950900",2,1,1,0,0,0
"44","01007010003",1,1,0,0,0,NA
"45","01009050101",11,10,1,0,0,0
"46","01009050102",3,1,2,0,0,0
"47","01009050200",6,6,0,0,0,NA
"48","01009050300",15,10,2,3,0.2,0.6
"49","01009050400",11,10,0,1,0.0909090909090909,1
"50","01009050500",14,12,0,2,0.142857142857143,1
"51","01009050601",5,5,0,0,0,NA
"52","01009050602",2,2,0,0,0,NA
"53","01009050700",1,1,0,0,0,NA
"54","01011952100",1,1,0,0,0,NA
"55","01013952700",2,2,0,0,0,NA
"56","01013952900",1,1,0,0,0,NA
"57","01013953000",2,2,0,0,0,NA
"58","01013953100",1,0,0,1,1,1
"59","01013953200",6,5,1,0,0,0
"60","01013953300",4,3,1,0,0,0
"61","01013953500",3,2,1,0,0,0
"62","01015001201",1,1,0,0,0,NA
"63","01015001800",9,9,0,0,0,NA
"64","01015002000",6,4,0,2,0.333333333333333,1
"65","01015002102",1,1,0,0,0,NA
"66","01015002103",1,1,0,0,0,NA
"67","01015002400",2,2,0,0,0,NA
"68","01015002501",3,2,1,0,0,0
"69","01015002600",1,1,0,0,0,NA
"70","01017953800",1,1,0,0,0,NA
"71","01017953900",3,3,0,0,0,NA
"72","01017954000",1,1,0,0,0,NA
"73","01017954200",8,6,1,1,0.125,0.5
"74","01017954300",2,1,1,0,0,0
"75","01017954400",3,3,0,0,0,NA
"76","01017954500",7,6,0,1,0.142857142857143,1
"77","01017954700",1,1,0,0,0,NA
"78","01019955701",2,2,0,0,0,NA
"79","01019955800",3,3,0,0,0,NA
"80","01021060101",7,5,1,1,0.142857142857143,0.5
"81","01021060102",4,4,0,0,0,NA
"82","01021060401",10,2,5,3,0.3,0.375
"83","01021060402",2,1,1,0,0,0
"84","01021060500",2,2,0,0,0,NA
"85","01021060700",1,1,0,0,0,NA
"86","01023956900",9,7,1,1,0.111111111111111,0.5
"87","01025957901",1,1,0,0,0,NA
"88","01027958900",3,3,0,0,0,NA
"89","01027959100",1,1,0,0,0,NA
"90","01029959600",6,6,0,0,0,NA
"91","01029959700",6,5,0,1,0.166666666666667,1
"92","01029959800",2,2,0,0,0,NA
"93","01031010400",1,1,0,0,0,NA
"94","01031010800",2,1,0,1,0.5,1
"95","01031010900",5,2,2,1,0.2,0.333333333333333
"96","01031011000",4,0,1,3,0.75,0.75
"97","01031011100",3,1,0,2,0.666666666666667,1
"98","01031011201",4,1,1,2,0.5,0.666666666666667
"99","01031011202",4,1,3,0,0,0
"100","01031011300",11,2,5,4,0.363636363636364,0.444444444444444
"101","01033020100",8,5,3,0,0,0
"102","01033020200",1,1,0,0,0,NA
"103","01033020300",4,1,2,1,0.25,0.333333333333333
"104","01033020701",5,4,0,1,0.2,1
"105","01033020703",2,2,0,0,0,NA
"106","01033020704",5,4,0,1,0.2,1
"107","01033020801",2,2,0,0,0,NA
"108","01033021000",1,1,0,0,0,NA
"109","01035960200",7,5,0,2,0.285714285714286,1
"110","01035960400",1,1,0,0,0,NA
"111","01035960500",1,0,1,0,0,0
"112","01035960600",3,2,1,0,0,0
"113","01039961700",1,1,0,0,0,NA
"114","01039962300",1,1,0,0,0,NA
"115","01039962400",1,1,0,0,0,NA
"116","01039962500",3,1,0,2,0.666666666666667,1
"117","01039962600",2,1,0,1,0.5,1
"118","01039962700",3,0,3,0,0,0
"119","01041963400",1,1,0,0,0,NA
"120","01041963500",2,2,0,0,0,NA
"121","01041963600",1,1,0,0,0,NA
"122","01041963700",1,1,0,0,0,NA
"123","01043964300",1,1,0,0,0,NA
"124","01043964700",1,1,0,0,0,NA
"125","01043964800",7,5,0,2,0.285714285714286,1
"126","01043964900",5,3,1,1,0.2,0.5
"127","01043965000",4,4,0,0,0,NA
"128","01043965300",2,2,0,0,0,NA
"129","01045020100",1,1,0,0,0,NA
"130","01045020802",1,1,0,0,0,NA
"131","01045021101",2,2,0,0,0,NA
"132","01045021300",1,1,0,0,0,NA
"133","01045021400",3,3,0,0,0,NA
"134","01047956300",9,6,0,3,0.333333333333333,1
"135","01047956400",16,12,0,4,0.25,1
"136","01047956500",11,5,0,6,0.545454545454545,1
"137","01047956600",10,7,0,3,0.3,1
"138","01047956701",1,1,0,0,0,NA
"139","01047956702",5,3,0,2,0.4,1
"140","01047957100",1,1,0,0,0,NA
"141","01047957200",3,3,0,0,0,NA
"142","01047957300",15,8,2,5,0.333333333333333,0.714285714285714
"143","01049960200",2,1,0,1,0.5,1
"144","01049960300",4,2,1,1,0.25,0.5
"145","01049960400",1,0,1,0,0,0
"146","01049960600",1,0,1,0,0,0
"147","01049960900",4,2,0,2,0.5,1
"148","01049961100",6,6,0,0,0,NA
"149","01049961400",2,2,0,0,0,NA
"150","01051030100",3,3,0,0,0,NA
"151","01051030200",2,2,0,0,0,NA
"152","01051030300",1,1,0,0,0,NA
"153","01051030400",10,5,1,4,0.4,0.8
"154","01051030500",12,5,3,4,0.333333333333333,0.571428571428571
"155","01051030701",1,0,1,0,0,0
"156","01051030901",3,3,0,0,0,NA
"157","01051030902",2,1,0,1,0.5,1
"158","01051031000",4,3,1,0,0,0
"159","01051031100",1,1,0,0,0,NA
"160","01051031200",5,3,0,2,0.4,1
"161","01051031300",6,3,1,2,0.333333333333333,0.666666666666667
"162","01053969800",1,1,0,0,0,NA
"163","01053969900",4,4,0,0,0,NA
"164","01053970100",6,6,0,0,0,NA
"165","01053970200",3,3,0,0,0,NA
"166","01053970300",5,5,0,0,0,NA
"167","01053970400",4,4,0,0,0,NA
"168","01053970500",8,5,2,1,0.125,0.333333333333333
"169","01053970600",14,8,2,4,0.285714285714286,0.666666666666667
"170","01053970700",4,3,0,1,0.25,1
"171","01055000200",3,1,2,0,0,0
"172","01055000300",7,5,0,2,0.285714285714286,1
"173","01055000600",2,1,0,1,0.5,1
"174","01055000700",1,0,0,1,1,1
"175","01055000800",7,3,2,2,0.285714285714286,0.5
"176","01055001000",3,2,0,1,0.333333333333333,1
"177","01055001100",3,2,0,1,0.333333333333333,1
"178","01055001200",5,2,0,3,0.6,1
"179","01055001300",4,1,2,1,0.25,0.333333333333333
"180","01055001600",1,0,1,0,0,0
"181","01055010300",4,4,0,0,0,NA
"182","01055010602",1,0,0,1,1,1
"183","01055010800",2,0,2,0,0,0
"184","01055011200",2,0,1,1,0.5,0.5
"185","01057020100",9,8,0,1,0.111111111111111,1
"186","01057020200",1,1,0,0,0,NA
"187","01057020300",2,2,0,0,0,NA
"188","01059973000",1,1,0,0,0,NA
"189","01059973100",1,1,0,0,0,NA
"190","01059973200",1,1,0,0,0,NA
"191","01059973500",2,1,1,0,0,0
"192","01059973600",1,0,1,0,0,0
"193","01059973700",2,1,0,1,0.5,1
"194","01061050100",8,5,3,0,0,0
"195","01061050200",3,3,0,0,0,NA
"196","01061050300",2,0,2,0,0,0
"197","01061050400",5,5,0,0,0,NA
"198","01061050500",7,5,2,0,0,0
"199","01061050600",1,1,0,0,0,NA
"200","01063060200",1,1,0,0,0,NA
"201","01065040200",1,0,1,0,0,0
"202","01065040400",3,3,0,0,0,NA
"203","01065040500",2,1,0,1,0.5,1
"204","01067030500",3,1,1,1,0.333333333333333,0.5
"205","01069040100",6,3,1,2,0.333333333333333,0.666666666666667
"206","01069040201",2,0,1,1,0.5,0.5
"207","01069040202",6,1,4,1,0.166666666666667,0.2
"208","01069040301",3,0,2,1,0.333333333333333,0.333333333333333
"209","01069040302",2,0,0,2,1,1
"210","01069040400",3,1,2,0,0,0
"211","01069040500",5,2,3,0,0,0
"212","01069040600",13,2,8,3,0.230769230769231,0.272727272727273
"213","01069040700",4,0,4,0,0,0
"214","01069040800",9,4,2,3,0.333333333333333,0.6
"215","01069040900",1,0,1,0,0,0
"216","01069041000",11,1,7,3,0.272727272727273,0.3
"217","01069041100",8,0,3,5,0.625,0.625
"218","01069041200",7,0,2,5,0.714285714285714,0.714285714285714
"219","01069041400",12,0,3,9,0.75,0.75
"220","01069041500",12,3,6,3,0.25,0.333333333333333
"221","01069041600",4,3,0,1,0.25,1
"222","01069041700",1,1,0,0,0,NA
"223","01069041800",2,2,0,0,0,NA
"224","01069041900",8,8,0,0,0,NA
"225","01069042000",6,5,0,1,0.166666666666667,1
"226","01071950600",2,1,1,0,0,0
"227","01071950700",3,2,0,1,0.333333333333333,1
"228","01071950800",2,1,0,1,0.5,1
"229","01071950900",3,1,2,0,0,0
"230","01073000100",6,3,0,3,0.5,1
"231","01073000300",10,3,0,7,0.7,1
"232","01073000400",15,6,6,3,0.2,0.333333333333333
"233","01073000500",10,6,1,3,0.3,0.75
"234","01073000700",12,9,0,3,0.25,1
"235","01073000800",13,7,1,5,0.384615384615385,0.833333333333333
"236","01073001100",7,2,4,1,0.142857142857143,0.2
"237","01073001200",5,4,0,1,0.2,1
"238","01073001400",6,2,1,3,0.5,0.75
"239","01073001500",13,7,0,6,0.461538461538462,1
"240","01073001600",14,6,3,5,0.357142857142857,0.625
"241","01073001902",10,4,2,4,0.4,0.666666666666667
"242","01073002000",7,3,1,3,0.428571428571429,0.75
"243","01073002100",4,1,1,2,0.5,0.666666666666667
"244","01073002200",7,1,1,5,0.714285714285714,0.833333333333333
"245","01073002303",5,3,1,1,0.2,0.5
"246","01073002305",1,1,0,0,0,NA
"247","01073002306",1,0,1,0,0,0
"248","01073002400",9,6,1,2,0.222222222222222,0.666666666666667
"249","01073002700",6,1,2,3,0.5,0.6
"250","01073002900",6,1,0,5,0.833333333333333,1
"251","01073003001",7,4,1,2,0.285714285714286,0.666666666666667
"252","01073003002",5,1,1,3,0.6,0.75
"253","01073003100",10,4,4,2,0.2,0.333333333333333
"254","01073003200",3,1,0,2,0.666666666666667,1
"255","01073003300",4,0,1,3,0.75,0.75
"256","01073003400",5,1,0,4,0.8,1
"257","01073003500",12,7,3,2,0.166666666666667,0.4
"258","01073003600",6,3,3,0,0,0
"259","01073003700",2,0,1,1,0.5,0.5
"260","01073003802",5,1,1,3,0.6,0.75
"261","01073003803",20,11,3,6,0.3,0.666666666666667
"262","01073003900",2,0,0,2,1,1
"263","01073004000",12,5,1,6,0.5,0.857142857142857
"264","01073004200",9,3,1,5,0.555555555555556,0.833333333333333
"265","01073004500",1,0,0,1,1,1
"266","01073004701",2,2,0,0,0,NA
"267","01073004902",4,1,2,1,0.25,0.333333333333333
"268","01073005000",2,1,1,0,0,0
"269","01073005101",5,2,2,1,0.2,0.333333333333333
"270","01073005103",5,4,0,1,0.2,1
"271","01073005104",6,3,2,1,0.166666666666667,0.333333333333333
"272","01073005200",9,4,3,2,0.222222222222222,0.4
"273","01073005302",2,2,0,0,0,NA
"274","01073005500",3,3,0,0,0,NA
"275","01073005600",5,2,2,1,0.2,0.333333333333333
"276","01073005701",5,2,1,2,0.4,0.666666666666667
"277","01073005702",14,6,3,5,0.357142857142857,0.625
"278","01073005800",4,2,0,2,0.5,1
"279","01073005903",5,4,1,0,0,0
"280","01073005905",10,4,4,2,0.2,0.333333333333333
"281","01073005907",1,0,1,0,0,0
"282","01073005908",14,6,5,3,0.214285714285714,0.375
"283","01073005909",4,3,1,0,0,0
"284","01073005910",8,3,4,1,0.125,0.2
"285","01073010001",5,3,1,1,0.2,0.5
"286","01073010002",3,2,1,0,0,0
"287","01073010100",11,7,0,4,0.363636363636364,1
"288","01073010200",8,4,0,4,0.5,1
"289","01073010301",4,3,0,1,0.25,1
"290","01073010302",7,5,1,1,0.142857142857143,0.5
"291","01073010401",18,8,2,8,0.444444444444444,0.8
"292","01073010402",1,0,0,1,1,1
"293","01073010602",1,1,0,0,0,NA
"294","01073010701",5,2,2,1,0.2,0.333333333333333
"295","01073010702",5,0,3,2,0.4,0.4
"296","01073010703",2,0,2,0,0,0
"297","01073010705",3,1,2,0,0,0
"298","01073010706",2,1,0,1,0.5,1
"299","01073010801",3,1,1,1,0.333333333333333,0.5
"300","01073010803",4,2,2,0,0,0
"301","01073010804",1,1,0,0,0,NA
"302","01073010805",3,0,2,1,0.333333333333333,0.333333333333333
"303","01073010900",3,3,0,0,0,NA
"304","01073011001",5,4,0,1,0.2,1
"305","01073011002",2,0,1,1,0.5,0.5
"306","01073011104",5,2,3,0,0,0
"307","01073011107",1,1,0,0,0,NA
"308","01073011108",1,1,0,0,0,NA
"309","01073011110",8,3,3,2,0.25,0.4
"310","01073011111",4,2,1,1,0.25,0.5
"311","01073011205",2,1,0,1,0.5,1
"312","01073011206",5,1,0,4,0.8,1
"313","01073011207",8,4,3,1,0.125,0.25
"314","01073011208",4,1,2,1,0.25,0.333333333333333
"315","01073011209",6,5,1,0,0,0
"316","01073011210",3,1,1,1,0.333333333333333,0.5
"317","01073011301",1,1,0,0,0,NA
"318","01073011500",2,2,0,0,0,NA
"319","01073011600",1,1,0,0,0,NA
"320","01073011703",3,0,0,3,1,1
"321","01073011705",3,0,3,0,0,0
"322","01073011706",4,1,0,3,0.75,1
"323","01073011802",12,3,5,4,0.333333333333333,0.444444444444444
"324","01073011803",10,6,4,0,0,0
"325","01073011804",4,1,3,0,0,0
"326","01073011901",5,3,0,2,0.4,1
"327","01073011904",2,0,1,1,0.5,0.5
"328","01073012001",8,2,2,4,0.5,0.666666666666667
"329","01073012002",4,1,1,2,0.5,0.666666666666667
"330","01073012103",4,2,1,1,0.25,0.5
"331","01073012104",3,2,1,0,0,0
"332","01073012200",1,1,0,0,0,NA
"333","01073012302",5,4,1,0,0,0
"334","01073012304",1,1,0,0,0,NA
"335","01073012305",5,4,0,1,0.2,1
"336","01073012401",6,3,1,2,0.333333333333333,0.666666666666667
"337","01073012402",8,5,0,3,0.375,1
"338","01073012403",2,2,0,0,0,NA
"339","01073012500",23,21,1,1,0.0434782608695652,0.5
"340","01073012602",7,4,1,2,0.285714285714286,0.666666666666667
"341","01073012701",9,5,1,3,0.333333333333333,0.75
"342","01073012703",1,1,0,0,0,NA
"343","01073012704",1,0,0,1,1,1
"344","01073012906",2,0,2,0,0,0
