"","tractid","id","N","population","fire_per_1000"
"1","01001020200","1400000US01001020200",1,2170,0.460829493087558
"2","01001020400","1400000US01001020400",2,4386,0.455996352029184
"3","01001020500","1400000US01001020500",3,10766,0.278655025078952
"4","01001020700","1400000US01001020700",2,2891,0.691802144586648
"5","01001020801","1400000US01001020801",2,3081,0.649139889646219
"6","01001020900","1400000US01001020900",1,5675,0.176211453744493
"7","01003010200","1400000US01003010200",2,2902,0.689179875947622
"8","01003010400","1400000US01003010400",7,4736,1.47804054054054
"9","01003010500","1400000US01003010500",8,4815,1.66147455867082
"10","01003010600","1400000US01003010600",5,3325,1.50375939849624
"11","01003010701","1400000US01003010701",3,7882,0.380614057345851
"12","01003010703","1400000US01003010703",10,13166,0.759532128209023
"13","01003010704","1400000US01003010704",1,5055,0.19782393669634
"14","01003010705","1400000US01003010705",4,8331,0.48013443764254
"15","01003010800","1400000US01003010800",6,6861,0.874508089199825
"16","01003010903","1400000US01003010903",5,5173,0.966557123526
"17","01003010904","1400000US01003010904",3,6831,0.439174352217831
"18","01003010905","1400000US01003010905",6,8011,0.74897016602172
"19","01003010906","1400000US01003010906",1,4302,0.232450023245002
"20","01003011000","1400000US01003011000",1,4305,0.232288037166086
"21","01003011101","1400000US01003011101",2,8397,0.238180302488984
"22","01003011102","1400000US01003011102",1,3715,0.269179004037685
"23","01003011202","1400000US01003011202",8,5065,1.57946692991115
"24","01003011300","1400000US01003011300",2,4487,0.445732114998886
"25","01003011401","1400000US01003011401",16,10632,1.50489089541008
"26","01003011403","1400000US01003011403",3,9131,0.328551089694448
"27","01003011405","1400000US01003011405",1,3832,0.260960334029228
"28","01003011406","1400000US01003011406",4,3412,1.17233294255569
"29","01003011407","1400000US01003011407",5,4799,1.0418837257762
"30","01003011408","1400000US01003011408",1,433,2.3094688221709
"31","01003011501","1400000US01003011501",3,5316,0.564334085778781
"32","01003011502","1400000US01003011502",7,10534,0.664514904119992
"33","01003011601","1400000US01003011601",13,6062,2.14450676344441
"34","01003011602","1400000US01003011602",11,4895,2.24719101123596
"35","01005950100","1400000US01005950100",1,3321,0.301114122252334
"36","01005950200","1400000US01005950200",5,4264,1.17260787992495
"37","01005950300","1400000US01005950300",1,1638,0.610500610500611
"38","01005950500","1400000US01005950500",5,3467,1.4421690222094
"39","01007010004","1400000US01007010004",1,8767,0.114064104026463
"40","01009050101","1400000US01009050101",3,7858,0.381776533469076
"41","01009050102","1400000US01009050102",6,7050,0.851063829787234
"42","01009050200","1400000US01009050200",3,3789,0.791765637371338
"43","01009050300","1400000US01009050300",14,5269,2.65705067375213
"44","01009050400","1400000US01009050400",14,4451,3.14536059312514
"45","01009050500","1400000US01009050500",4,7329,0.545777050075044
"46","01009050601","1400000US01009050601",3,3922,0.764915859255482
"47","01009050602","1400000US01009050602",7,8923,0.784489521461392
"48","01011952200","1400000US01011952200",1,7102,0.140805406927626
"49","01013952700","1400000US01013952700",3,2439,1.230012300123
"50","01013952800","1400000US01013952800",1,1394,0.717360114777618
"51","01013952900","1400000US01013952900",2,2180,0.917431192660551
"52","01013953000","1400000US01013953000",6,1469,4.08441116405718
"53","01013953100","1400000US01013953100",2,3023,0.661594442606682
"54","01013953200","1400000US01013953200",6,4327,1.38664201525306
"55","01015001100","1400000US01015001100",9,6565,1.37090632140137
"56","01015001201","1400000US01015001201",7,3482,2.01033888569787
"57","01015001202","1400000US01015001202",4,4318,0.926354793886058
"58","01015001500","1400000US01015001500",5,5198,0.961908426317814
"59","01015001800","1400000US01015001800",1,6919,0.144529556294262
"60","01015002000","1400000US01015002000",5,7335,0.681663258350375
"61","01015002101","1400000US01015002101",2,3992,0.501002004008016
"62","01015002102","1400000US01015002102",4,3411,1.17267663441806
"63","01015002103","1400000US01015002103",5,6801,0.735186002058521
"64","01015002200","1400000US01015002200",4,3652,1.09529025191676
"65","01015002300","1400000US01015002300",1,3843,0.260213374967473
"66","01015002400","1400000US01015002400",1,4518,0.221336874723329
"67","01015002502","1400000US01015002502",1,4661,0.214546234713581
"68","01017953800","1400000US01017953800",1,3619,0.276319425255595
"69","01017953900","1400000US01017953900",6,2900,2.06896551724138
"70","01017954000","1400000US01017954000",8,6669,1.19958014694857
"71","01017954200","1400000US01017954200",3,3257,0.92109303039607
"72","01017954300","1400000US01017954300",5,4708,1.06202209005947
"73","01017954400","1400000US01017954400",1,995,1.00502512562814
"74","01017954500","1400000US01017954500",12,3804,3.15457413249211
"75","01017954700","1400000US01017954700",2,4852,0.412201154163232
"76","01019955701","1400000US01019955701",6,3332,1.80072028811525
"77","01019955702","1400000US01019955702",1,3872,0.258264462809917
"78","01019955800","1400000US01019955800",1,5561,0.179823772702751
"79","01019956100","1400000US01019956100",3,4972,0.603378921962993
"80","01021060101","1400000US01021060101",13,5219,2.49089863958613
"81","01021060102","1400000US01021060102",5,6303,0.793273044581945
"82","01021060200","1400000US01021060200",5,2807,1.78126113288208
"83","01021060300","1400000US01021060300",3,3808,0.78781512605042
"84","01021060401","1400000US01021060401",3,5466,0.548847420417124
"85","01021060402","1400000US01021060402",24,8776,2.73473108477666
"86","01021060500","1400000US01021060500",10,2902,3.44589937973811
"87","01021060600","1400000US01021060600",2,3261,0.613308800981294
"88","01021060700","1400000US01021060700",9,5101,1.7643599294256
"89","01023956800","1400000US01023956800",3,4423,0.678272665611576
"90","01023956900","1400000US01023956900",1,3879,0.25779840164991
"91","01025957601","1400000US01025957601",1,998,1.00200400801603
"92","01025957800","1400000US01025957800",7,5488,1.27551020408163
"93","01025957901","1400000US01025957901",1,3493,0.286286859433152
"94","01025957902","1400000US01025957902",1,4230,0.236406619385343
"95","01027959000","1400000US01027959000",1,3224,0.310173697270471
"96","01027959100","1400000US01027959100",1,2904,0.34435261707989
"97","01029959600","1400000US01029959600",4,4202,0.951927653498334
"98","01029959700","1400000US01029959700",5,3419,1.46241591108511
"99","01029959800","1400000US01029959800",3,4667,0.642811227769445
"100","01031010300","1400000US01031010300",3,4258,0.704556129638328
"101","01031010500","1400000US01031010500",1,4558,0.219394471259324
"102","01031010600","1400000US01031010600",1,1561,0.640614990390775
"103","01031010700","1400000US01031010700",2,2286,0.874890638670166
"104","01031010800","1400000US01031010800",1,2840,0.352112676056338
"105","01031010900","1400000US01031010900",8,2117,3.77893245158243
"106","01031011100","1400000US01031011100",1,2026,0.493583415597236
"107","01031011201","1400000US01031011201",7,8036,0.871080139372822
"108","01031011202","1400000US01031011202",2,8530,0.234466588511137
"109","01031011300","1400000US01031011300",3,4160,0.721153846153846
"110","01033020701","1400000US01033020701",1,6103,0.163853842372604
"111","01033020704","1400000US01033020704",3,4321,0.694283730617912
"112","01033020801","1400000US01033020801",4,4487,0.891464229997771
"113","01033020802","1400000US01033020802",1,3766,0.265533722782793
"114","01033020902","1400000US01033020902",1,3972,0.251762336354481
"115","01033021000","1400000US01033021000",2,3942,0.507356671740233
"116","01035960500","1400000US01035960500",2,1771,1.12930547713156
"117","01035960600","1400000US01035960600",2,4667,0.428540818512963
"118","01037961200","1400000US01037961200",2,3656,0.547045951859956
"119","01039961600","1400000US01039961600",2,4133,0.48390999274135
"120","01039961900","1400000US01039961900",1,2127,0.470145745181006
"121","01039962400","1400000US01039962400",1,3144,0.318066157760814
"122","01039962500","1400000US01039962500",1,1524,0.656167979002625
"123","01039962600","1400000US01039962600",3,1517,1.977587343441
"124","01039962700","1400000US01039962700",4,1686,2.37247924080664
"125","01039962800","1400000US01039962800",2,1736,1.15207373271889
"126","01039963000","1400000US01039963000",5,3684,1.35722041259501
"127","01043964100","1400000US01043964100",7,5582,1.25403081332856
"128","01043964200","1400000US01043964200",7,7373,0.9494100094941
"129","01043964300","1400000US01043964300",8,5001,1.5996800639872
"130","01043964400","1400000US01043964400",6,4112,1.4591439688716
"131","01043964600","1400000US01043964600",1,4007,0.249563264287497
"132","01043964700","1400000US01043964700",1,4643,0.215377988369589
"133","01043964800","1400000US01043964800",2,4289,0.466309162975052
"134","01043964900","1400000US01043964900",8,6683,1.19706718539578
"135","01043965000","1400000US01043965000",1,6071,0.164717509471257
"136","01043965200","1400000US01043965200",3,2309,1.29926375054136
"137","01043965300","1400000US01043965300",3,4539,0.660938532716457
"138","01043965500","1400000US01043965500",2,5631,0.355176700408453
"139","01043965600","1400000US01043965600",2,2257,0.886132033673017
"140","01043965700","1400000US01043965700",1,2652,0.377073906485671
"141","01045020100","1400000US01045020100",1,3823,0.261574679571017
"142","01045020200","1400000US01045020200",4,2067,1.9351717464925
"143","01045020300","1400000US01045020300",1,2396,0.417362270450751
"144","01045020500","1400000US01045020500",3,2049,1.46412884333821
"145","01045020700","1400000US01045020700",3,3518,0.852757248436612
"146","01045020801","1400000US01045020801",1,3361,0.29753049687593
"147","01045020802","1400000US01045020802",4,4351,0.919328889910365
"148","01045021101","1400000US01045021101",3,4893,0.613120784794605
"149","01045021300","1400000US01045021300",3,4034,0.743678730788299
"150","01045021400","1400000US01045021400",5,5492,0.910415149308085
"151","01047956100","1400000US01047956100",1,6753,0.14808233377758
"152","01047956201","1400000US01047956201",1,2550,0.392156862745098
"153","01047956202","1400000US01047956202",5,2327,2.14868929952729
"154","01047956300","1400000US01047956300",8,3791,2.11026114481667
"155","01047956400","1400000US01047956400",4,3150,1.26984126984127
"156","01047956500","1400000US01047956500",8,3811,2.09918656520598
"157","01047956600","1400000US01047956600",9,3811,2.36158488585673
"158","01047956701","1400000US01047956701",3,1855,1.61725067385445
"159","01047956702","1400000US01047956702",7,1602,4.36953807740325
"160","01047956900","1400000US01047956900",1,2804,0.356633380884451
"161","01047957100","1400000US01047957100",2,1345,1.48698884758364
