

Tract (Group 1)	Date (Group 2)	risk_indicator
1003010904	1/1/09	1
1041963700	1/1/09	1
1053970500	1/1/09	1
1057020000	1/1/09	1
1073011706	1/1/09	1
1089010501	1/1/09	1
1089011300	1/1/09	1
11001009301	1/1/09	1
1123962600	1/1/09	1
12011060107	1/1/09	1
12031001600	1/1/09	1
12031012200	1/1/09	1
12031012602	1/1/09	1
12086000206	1/1/09	1
12086008410	1/1/09	1
12086011403	1/1/09	1
12095018200	1/1/09	3
12103023100	1/1/09	1
12103024703	1/1/09	1
13043950100	1/1/09	3
13051002700	1/1/09	1
13051011300	1/1/09	3
13059140600	1/1/09	1
13067030904	1/1/09	1
13121002400	1/1/09	1
13233010400	1/1/09	1
15001020300	1/1/09	6
15001020500	1/1/09	2
16053970400	1/1/09	1
17031252202	1/1/09	1
17031540102	1/1/09	1
17031730500	1/1/09	2
17031829700	1/1/09	1
17097860811	1/1/09	1
17119400102	1/1/09	1
17137951500	1/1/09	1
17161023600	1/1/09	1
17163502200	1/1/09	2
18095001000	1/1/09	1
18097360101	1/1/09	1
18099020600	1/1/09	0
18125954000	1/1/09	1
18125954100	1/1/09	3
19177950100	1/1/09	1
20173003200	1/1/09	1
20191962100	1/1/09	1
20191962300	1/1/09	1
20209043904	1/1/09	1
21029020800	1/1/09	1
21035010200	1/1/09	1
21111012801	1/1/09	2
21115960500	1/1/09	1
21117060700	1/1/09	1
21137920400	1/1/09	1
21199930900	1/1/09	1
21209040400	1/1/09	1
22017022500	1/1/09	0
22033004602	1/1/09	1
22039950700	1/1/09	0
22051020101	1/1/09	1
22055000200	1/1/09	0
22055000800	1/1/09	1
22055001100	1/1/09	0
22063040201	1/1/09	1
22071001723	1/1/09	1
22071003400	1/1/09	2
22073000700	1/1/09	1
22079011500	1/1/09	1
22091951200	1/1/09	1
22095070100	1/1/09	1
22095070600	1/1/09	1
22123000100	1/1/09	1
23011010300	1/1/09	3
23025966600	1/1/09	2
24005402406	1/1/09	2
24015030904	1/1/09	1
24025302400	1/1/09	1
24033803514	1/1/09	0
24033804002	1/1/09	4
24510090100	1/1/09	1
24510200500	1/1/09	2
25021403500	1/1/09	1
25025050200	1/1/09	3
26047970800	1/1/09	0
26049000200	1/1/09	1
26065006302	1/1/09	1
26067030100	1/1/09	1
26161405600	1/1/09	1
26161410400	1/1/09	6
26161414200	1/1/09	8
26163507900	1/1/09	1
26163513600	1/1/09	1
26163525700	1/1/09	2
26163527300	1/1/09	3
26163530900	1/1/09	1
26163531200	1/1/09	1
26163535500	1/1/09	1
26163546000	1/1/09	1
27111960900	1/1/09	1
27123042101	1/1/09	1
28035000500	1/1/09	0
28097950200	1/1/09	1
28103950200	1/1/09	1
28113950600	1/1/09	1
28133950200	1/1/09	1
29027070400	1/1/09	1
29095006300	1/1/09	1
29095008900	1/1/09	1
29099701401	1/1/09	0
29179380100	1/1/09	1
29205450200	1/1/09	1
29213480401	1/1/09	1
29221460400	1/1/09	1
29510112200	1/1/09	1
30013001600	1/1/09	2
33011001400	1/1/09	1
33013044200	1/1/09	1
34007601500	1/1/09	3
34013012800	1/1/09	1
34019010200	1/1/09	1
34035051100	1/1/09	1
35006974400	1/1/09	1
36005001600	1/1/09	0
36005001900	1/1/09	1
36005007200	1/1/09	0
36005021501	1/1/09	1
36005024300	1/1/09	0
36023970500	1/1/09	1
36023970600	1/1/09	3
36029003600	1/1/09	0
36029017200	1/1/09	1
36047012902	1/1/09	0
36047013100	1/1/09	0
36047049500	1/1/09	0
36047082400	1/1/09	3
36047082600	1/1/09	0
36059303302	1/1/09	2
36061007300	1/1/09	0
36061007500	1/1/09	0
36061021703	1/1/09	1
36061028300	1/1/09	0
36061028500	1/1/09	2
36067005700	1/1/09	1
36081007300	1/1/09	0
36081041400	1/1/09	1
36081103201	1/1/09	0
36081103202	1/1/09	1
36085019800	1/1/09	0
36105951600	1/1/09	2
37021001600	1/1/09	1
37067002601	1/1/09	1
37069060600	1/1/09	1
37069060801	1/1/09	1
37115010100	1/1/09	1
37133000302	1/1/09	1
37147001800	1/1/09	1
37193960900	1/1/09	1
39003013800	1/1/09	0
39025040101	1/1/09	1
39035120802	1/1/09	2
39035177303	1/1/09	2
39049003700	1/1/09	2
39049008120	1/1/09	1
39049008312	1/1/09	1
39071955000	1/1/09	1
39127966300	1/1/09	1
39151701700	1/1/09	0
40031002301	1/1/09	1
40037021101	1/1/09	1
40101001500	1/1/09	1
40109107216	1/1/09	1
40143008600	1/1/09	1
42003561700	1/1/09	1
42003562700	1/1/09	1
42015951000	1/1/09	1
42029305500	1/1/09	6
42049000700	1/1/09	1
42049002800	1/1/09	1
42063960300	1/1/09	1
42069111400	1/1/09	0
42097080600	1/1/09	1
42101008602	1/1/09	1
42101027600	1/1/09	1
42101027800	1/1/09	5
42101033701	1/1/09	44
42105950100	1/1/09	1
42129804801	1/1/09	1
45001950100	1/1/09	1
45015020201	1/1/09	1
45019003104	1/1/09	1
45035010816	1/1/09	1
45043920301	1/1/09	1
45051051403	1/1/09	1
45063020801	1/1/09	1
47009010400	1/1/09	1
47009011603	1/1/09	1
47031970100	1/1/09	0
47119010600	1/1/09	1
47123925400	1/1/09	1
47125101306	1/1/09	1
47157000900	1/1/09	1
47161110600	1/1/09	0
47163043401	1/1/09	1
47177930800	1/1/09	1
48037011402	1/1/09	1
48061011100	1/1/09	1
48067950500	1/1/09	1
48073950200	1/1/09	1
48113009303	1/1/09	1
48187210604	1/1/09	1
48201232702	1/1/09	1
48201542200	1/1/09	1
48215023513	1/1/09	1
48221160208	1/1/09	1
48249950100	1/1/09	1
48303010508	1/1/09	1
48347950302	1/1/09	1
48355000600	1/1/09	1
48439100201	1/1/09	1
48439105800	1/1/09	1
48451001704	1/1/09	1
48453001765	1/1/09	1
48485010800	1/1/09	1
5011950200	1/1/09	3
51025930300	1/1/09	1
5107480300	1/1/09	1
51085321300	1/1/09	1
51143010100	1/1/09	1
5119004105	1/1/09	1
5139951000	1/1/09	1
51740212400	1/1/09	1
51770002700	1/1/09	1
53033003300	1/1/09	1
53033032315	1/1/09	1
53041971900	1/1/09	1
53061051802	1/1/09	1
53077001202	1/1/09	2
54041967600	1/1/09	1
54047954000	1/1/09	1
54049020500	1/1/09	1
54055001500	1/1/09	1
54065970700	1/1/09	1
6001403502	1/1/09	2
6013379000	1/1/09	3
6029002700	1/1/09	1
6037201200	1/1/09	1
6037231720	1/1/09	1
6037535200	1/1/09	0
6059087001	1/1/09	2
6067007406	1/1/09	1
6071002105	1/1/09	1
6085502901	1/1/09	1
6107000501	1/1/09	1
6107004200	1/1/09	1
72127003300	1/1/09	1
72137121001	1/1/09	1
8041005108	1/1/09	1
8059010403	1/1/09	7
8105977000	1/1/09	1
9011690500	1/1/09	1
9011690700	1/1/09	1
10005050602	1/10/09	1
1045021101	1/10/09	1
1069040301	1/10/09	1
1101001100	1/10/09	1
1115040201	1/10/09	1
12033001800	1/10/09	1
12053040801	1/10/09	1
12055960102	1/10/09	1
12083000501	1/10/09	1
12101032200	1/10/09	1
