Tract (Group 1)	risk_indicator
10001041200	1
10001041801	1
10001041802	1
10001042500	1
10001043000	1
10003001500	1
10003002200	1
10003002300	1
10003002600	1
10003012700	1
10003013700	3
10003014703	1
10003016604	1
10005050602	1
10005051701	1
10005051802	1
1001020801	1
1003010300	1
1003010703	1
1003010904	1
1003011000	1
1003011201	1
1005950400	1
1009050101	1
1009050400	1
1013952800	1
1015000500	1
1015000700	1
1015001201	1
1015001600	2
1015001800	0
1015002000	1
1021060300	1
1021060402	2
1025957602	1
1029959600	1
1031010500	2
1031010700	1
1031011100	1
1031011202	2
1031011300	1
1033020200	1
1033020500	1
1033020600	1
1039961800	1
1039962000	1
1039962100	1
1041963700	2
1043964300	1
1043964400	1
1043964600	2
1043964800	1
1045020300	1
1045021101	1
1045021300	1
1045021400	1
1047956100	2
1047956600	1
1049960700	1
1049960800	1
1049961300	1
1049961400	1
1051030400	1
1051030500	1
1053969800	1
1053970300	1
1053970400	1
1053970500	1
1053970600	1
1055000300	1
1055000400	1
1055010100	1
1055010800	1
1057020000	2
1061050600	1
1065040000	1
1065040200	1
1065040400	0
1067030200	1
1069040301	1
1069040700	1
1069041500	1
1069041700	1
1071950600	1
1071950800	1
1071951100	1
1073000400	1
1073000800	4
1073001200	2
1073001500	1
1073001902	1
1073002200	1
1073003200	1
1073003300	0
1073004000	2
1073005903	1
1073005907	1
1073010001	1
1073010200	1
1073010301	2
1073010302	1
1073010401	1
1073010602	2
1073010701	1
1073011001	1
1073011706	1
1073012103	1
1073012302	2
1073012403	1
1073014102	1
1075030100	1
1077011000	2
1077011200	1
1077011400	2
1077011802	1
1079979500	1
1079979600	1
1081040300	1
1081041600	1
1081042101	1
1083020401	1
1083020600	1
1083020801	1
1085781200	3
1087231603	1
1089000301	0
1089000302	2
1089000502	1
1089001500	1
1089002911	1
1089010100	1
1089010302	1
1089010402	2
1089010501	1
1089010502	1
1089010702	0
1089010800	0
1089011011	0
1089011300	1
1091972900	1
1091973100	5
1093964700	0
1095030202	1
1095030600	0
1095030702	2
1095030904	2
1095031100	1
1097001002	0
1097001100	1
1097003402	1
1097005800	1
1097005900	1
1097006702	1
1097006802	2
1097007101	1
1099075800	1
1099075900	2
11001002702	1
11001003301	0
11001003302	1
11001006801	1
11001006900	0
11001007707	2
11001007803	1
11001008904	1
11001009201	1
11001009203	1
11001009301	1
11001009904	1
11001010400	1
1101000400	1
1101001100	2
1101002202	1
1101002900	1
1101003000	1
1101003301	1
1101006000	1
1103000100	1
1103000600	1
1103005107	2
1103005301	1
1103005303	1
1103005600	1
1109188900	1
1109189000	1
1109189100	1
1111000400	3
1113030200	1
1115040201	1
1115040203	1
1115040401	1
1115040402	1
1117030102	1
1117030605	1
1117030704	1
1119011300	1
1119011500	1
1123962300	1
1123962600	1
1125010303	1
1125010500	1
1125010702	1
1125010803	1
1125011701	1
1125011902	1
1125012700	1
1127020600	1
1127021000	1
1127021100	1
1127021200	1
1127021400	1
1127021700	1
1127021900	0
1129044200	1
1131034700	2
1131034800	1
1131035100	1
1131035200	1
1133965503	1
12001000600	1
12001000700	2
12001002209	0
12001002210	1
12005000201	2
12005000500	2
12005002608	1
12005002703	0
12007000100	1
12007000200	1
12009060700	1
12009062301	1
12009062302	1
12009064127	1
12009064302	1
12009071334	1
12009071340	1
12011010702	4
12011020302	1
12011030402	1
12011030600	1
12011040702	1
12011040802	1
12011043002	0
12011050312	1
12011050602	2
12011060107	1
12011060116	0
12011060128	1
12011060303	2
12011060401	1
12011070305	1
12011070312	1
12011091701	1
12011110333	0
12015020501	1
12015021001	1
12017450500	1
12019030304	1
12019030500	1
12019030904	1
12019031400	1
12021010412	1
12021010413	1
12021010903	1
12023110700	1
12023110903	2
12029970102	1
12031000600	1
12031001000	1
12031001500	1
12031001600	1
12031002702	1
