"tractid","death_injury_rf_risk_prob"
5015950500,0.012
5033020302,0.402
5045030702,0.572
5057480500,0.342
5085020103,0.228
5131000502,0.738
4013422513,0.428
4019004427,0.546
4019004645,0.32
6013311000,0.626
6029001902,0.464
6037272202,0.358
6037577603,0.338
6037602003,0.348
6037670403,0.346
6059052506,0.376
6071009717,0.368
6073010112,0.318
6073010300,0.406
6073017010,0.37
6077005134,0.42
6081607300,0.33
6085500100,0.354
6103000400,0.216
6111008303,0.442
8005005626,0.412
8031000302,0.294
9001011300,0.324
9003417400,0.368
10003016200,0.282
12001001517,0.346
12011060113,0.444
12031016807,0.396
12057011710,0.472
12071030202,0.434
12086003003,0.352
12087972300,0.382
12091022800,0.788
12099002400,0.288
13051003502,0.306
13057090701,0.288
13067031112,0.416
13165960200,0.248
13211010300,0.25
19153010408,0.41
16055001100,0.25
17031110501,0.386
17161024200,0.532
17167000800,0.618
18005010500,0.43
18031969200,0.292
18085961900,0.348
18095011100,0.422
20037956600,0.204
21037051200,0.432
21199930200,0.378
22017023300,0.446
22045030500,0.414
22071009600,0.452
22071011600,0.334
25021419700,0.524
25023511000,0.478
25025050200,0.348
25027758101,0.344
25027761400,0.18
24005430900,0.428
24031701505,0.352
24031702402,0.75
26033970800,0.328
26049010811,0.456
26147631600,0.596
26163522200,0.432
26163544100,0.438
27053000300,0.39
27109000902,0.414
27133570300,0.28
29159480200,0.216
29165030307,0.262
29195090200,0.318
28121020101,0.178
28135950100,0.608
37119005100,0.482
37125951200,0.458
37179021005,0.356
31153010306,0.336
34001000500,0.226
34003008000,0.188
34007607502,0.086
34013011900,0.4
34017000200,0.214
35045000706,0.382
32003002969,0.434
32031001010,0.39
36047014000,0.364
36047062600,0.232
36061025100,0.472
36083052603,0.334
36113070400,0.458
39035106800,0.748
39035119900,0.712
39049007043,0.58
39065000700,0.368
39095004200,0.636
39095006500,0.27
39109365302,0.27
40031002001,0.414
41039001803,0.402
41051009000,0.282
42003474101,0.296
42029300800,0.21
42029307400,0.342
42033330400,0.294
42041013000,0.244
42045404003,0.382
42071012900,0.374
42095017501,0.382
72127007100,0.466
72131958800,0.36
44007010600,0.904
44007013701,0.426
45031010400,0.194
45085001100,0.73
48029121909,0.292
48029191808,0.346
48113004300,0.244
48113019206,0.582
48181000200,0.268
48187210505,0.588
48201532501,0.35
48215021304,0.322
48215024301,0.344
48225950100,0.372
48491020605,0.44
49011125401,0.394
51059480505,0.298
51171040300,0.31
53033029304,0.354
53063003900,0.286
53063004000,0.85
55003950300,0.42
55029100300,0.278
55081950400,0.448
55085971400,0.704
55097960200,0.3
55117010200,0.288
54003971102,0.184
54089000500,0.696
1055000200,0.302
1087231900,0.476
6001404600,0.226
6007003501,0.374
6037123301,0.416
6037134421,0.394
6037301602,0.376
6037432700,0.282
6037910712,0.366
6047001503,0.412
6059001708,0.334
6059011102,0.394
6059063007,0.218
6065041910,0.454
6067007417,0.386
6073003107,0.418
6073016000,0.394
6079011600,0.34
6111001602,0.424
8059012057,0.584
9003462201,0.354
9003471300,0.28
9005300100,0.278
12029990000,0.262
12033003508,0.906
12057001300,0.414
12069031202,0.15
12081002012,0.346
12086007503,0.238
12086008804,0.246
